,lemmes,pos
0,"['mourir', 'le', 'heure', 'plus', 'revoir', 'petit', 'enfant']","['VERB', 'DET', 'NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN']"
1,"['maladie', 'autre', 'conséquence', 'jeune', 'génération', 'voir', 'situation', 'insolite', 'le', 'arrêt', 'tout', 'vie', 'social', 'active']","['NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']"
2,"['comment', 'se', 'en', 'sortir', 'mal', 'loger']","['ADV', 'PRON', 'PRON', 'VERB', 'ADV', 'VERB']"
3,"['inquiétude', 'santé', 'proche', 'plus', 'fragile', 'femme', 'battu', 'enfant', 'danger', 'prisonnier', 'sdf', 'crise', 'économique', 'avérer', 'possible', 'crise', 'social', 'suite']","['NOUN', 'ADJ', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN']"
4,"['bien', 'entendre', 'contracter', 'maladie']","['ADV', 'VERB', 'VERB', 'NOUN']"
5,"['le', 'multiplication', 'pandémier', 'le', 'avenir']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN']"
6,"['nombreux', 'reprise', 'pandémie', 'cours', 'prochain', 'année', 'fermeture', 'pays', 'crise', 'économique', 'touche', 'énorme', 'partie', 'population', 'mondial']","['ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'X', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ']"
7,"['effondrement', 'economir']","['ADJ', 'NOUN']"
8,"['je', 'craindre', 'modification', 'nature', 'relation', 'entre', 'personne', 'vers', 'plus', 'de', 'égoïsme']","['PRON', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADV', 'ADP', 'NOUN']"
9,"['le', 'incivilité']","['DET', 'NOUN']"
10,"['reprendre', 'plusieurs', 'étape', 'pandémie', 'crise', 'économique', 'social', 'particulier', 'chez', 'plus', 'munir']","['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADP', 'ADV', 'ADJ']"
11,"['le', 'reanimation']","['DET', 'NOUN']"
12,"['famille', 'toucher', 'microbe', 'mais', 'veux', 'bien', 'mourir', 'place', 'jeune']","['NOUN', 'ADJ', 'ADV', 'CCONJ', 'ADJ', 'ADV', 'VERB', 'NOUN', 'ADJ']"
13,"['le', 'sortie', 'prudent', 'dégât']","['DET', 'NOUN', 'ADJ', 'NOUN']"
