;lemmas;pos
0;['mourir', 'heure', 'plus', 'revoir', 'petit', 'enfant'];['VERB', 'NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN']
1;['maladie', 'conséquence', 'jeune', 'génération', 'voir', 'situation', 'insolite', 'arrêt', 'vie', 'social', 'actif'];['NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ']
2;['sortir', 'mal', 'loger'];['VERB', 'ADV', 'VERB']
3;['inquiétude', 'santé', 'proche', 'plus', 'fragile', 'femme', 'battre', 'enfant', 'danger', 'prisonnier', 'sdf', 'crise', 'économique', 'avérer', 'possible', 'crise', 'social', 'suite'];['NOUN', 'ADJ', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN']
4;['bien', 'entendre', 'contracter', 'maladie'];['ADV', 'VERB', 'VERB', 'NOUN']
5;['multiplication', 'pandémie', 'avenir'];['NOUN', 'NOUN', 'NOUN']
6;['nombreux', 'reprise', 'pandémie', 'cours', 'prochain', 'année', 'fermeture', 'pays', 'crise', 'économique', 'touche', 'énorme', 'partie', 'population', 'mondial'];['ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADJ']
7;['effondrement', 'economir'];['NOUN', 'ADJ']
8;['craindre', 'modification', 'nature', 'relation', 'entre', 'personne', 'vers', 'plus', 'égoïsme'];['VERB', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADV', 'NOUN']
9;['incivilité'];['NOUN']
10;['reprendre', 'plusieurs', 'étape', 'pandémie', 'crise', 'économique', 'social', 'particulier', 'chez', 'plus', 'munir'];['VERB', 'DET', 'NOUN', 'X', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADP', 'ADV', 'ADJ']
11;['reanimation'];['NOUN']
12;['famille', 'toucher', 'microbe', 'vouloir', 'bien', 'mourir', 'place', 'jeune'];['NOUN', 'ADJ', 'NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'ADJ']
13;['sortie', 'prudent', 'dégât'];['NOUN', 'ADJ', 'NOUN']
14;['aspect', 'gravissime', 'maladie', 'chez', 'certain', 'patient', 'notamment', 'chez', 'personne', 'âgées.la', 'perspective', 'mort', 'pénible', 'étouffement', 'absence', 'vaccin', 'nombreux', 'mois', 'condition', 'vie', 'entraver', 'phénomène', 'contamination', 'entraine', 'isolement', 'supportable', 'moment', 'finir', 'grave', 'répercussion', 'psychologique', 'catégorie', 'sociales.plu', 'grave', 'certainement', 'grand', 'âge'];['NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'ADV', 'ADJ', 'NOUN']
15;['contagion', 'crise', 'sociétal', 'crise', 'economiqu'];['NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']
16;['crise', 'faire', 'suffisamment', 'prendre', 'conscience', 'excès', 'société', 'crise', 'économique', 'grave', 'conséquence', 'social'];['NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADJ']
17;['doute', 'comportement', 'partie', 'partie', '....', 'assez', 'important', 'oeil', 'compatriote', 'critique', 'systématique', 'individualisme', 'orgueil', 'ego', 'inquiéter', 'plus', 'maladie', '....', 'bien', 'entendre', 'balance', 'bel', 'attitude'];['NOUN', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN']
18;['pandémie', 'long', 'difficilement', 'maîtrisable', 'lequel', 'mesure', 'proposer', 'scientifique', 'mond', 'différents', 'laisse', 'planer', 'doute', 'efficacitées'];['NOUN', 'ADJ', 'ADV', 'VERB', 'PRON', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'DET', 'VERB', 'VERB', 'NOUN', 'PROPN']
19;"['danger', 'grave', 'plus', 'fragile', 'tant', 'moyen', 'mettre', 'oeuvre', ""l'"", 'éradiquer', 'test', 'masque']";['NOUN', 'ADJ', 'ADV', 'ADJ', 'ADV', 'ADJ', 'VERB', 'NOUN', 'PRON', 'VERB', 'NOUN', 'NOUN']
20;['non', 'respect', 'mesure', 'réclamer'];['NOUN', 'NOUN', 'NOUN', 'VERB']
21;['inconscience', 'beaucoup', 'citoyen', 'difficulté', 'protéger', 'population', 'lieu', 'public', 'ecoles/', 'supermarché', 'lieu', 'loisir', 'restaurant', 'cinéma', 'musée'];['NOUN', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']
22;['adaptation', 'vie', 'porter', 'masque', 'partiellement', 'priver', 'liberté', 'promener', 'nez', 'air', 'revoir', 'visu', 'gens', 'aimer', 'plus', 'âgé', 'non', 'violence', 'délinquance', 'grandissant'];['NOUN', 'NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADJ', 'ADV', 'NOUN', 'NOUN', 'ADJ']
23;['peur', 'parent', 'ami', 'malade'];['NOUN', 'NOUN', 'NOUN', 'ADJ']
24;['manqu', 'connaisanc', 'évolution', 'nouveau', 'virus-', 'manqu', 'traitement', 'apaisant', 'crise', 'manqu', 'équipement', 'protection', 'assistance'];['ADJ', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN']
25;"['peur', 'microbe', 'savoir', 'dangereux', 'plus', 'âge', 'porteur', 'plus', ""d'"", 'pathologie', 'impression', 'pestiférer', ""n'"", 'possibilité', 'voir', 'plus', 'petit', 'personne', 'rencontrer', 'suspect', 'dangereux', 'issue', 'visible', 'crise']";['NOUN', 'NOUN', 'VERB', 'ADJ', 'ADV', 'NOUN', 'ADJ', 'ADV', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADV', 'NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'NOUN']
26;['difficulte', 'sanitaire', 'social', 'politique'];['NOUN', 'ADJ', 'ADJ', 'ADJ']
