Id;Caption
804;"Attraper le virus
 Respiration, de l'astheme
 Je ne crains par la mort mais j'ai trop d'affaires qui ne sont pas en ordre"
805;"les dysfonctionnements (aggravation des inégalités..)  sociaux dans notre pays,  la situation dramatique des populations des pays pauvres
 la peur de souffrir  et de pas avoir les soins palliatifs dans le contexte hospitalier actuel"
806;Un déconfinement moyennement observé et peu efficace qui force les autorités à prendre des mesures renforcées.
807;Contracter le virus et le transmettre a mon mari
808;attraper ce virus
809;de le transmettre
810;Extension de la pandémie et surtout pour une autre pandémie analogue ou voisine dans un avenir plus ou moins proche. Inquiétude pour l'avenir des descendants.
811;"- Comment 'récupérer' pour les élèves des zones défavorisées
 - Comment financer les dépenses alors que le gouvernement ne veut pas toucher aux impôts de ceux qui ont les moyens ?"
812;"Ne pas pouvoir aider certains de nos enfants en gardant es petits-enfants
 Ne pas pouvoir, vraisemblablement , quitter Paris, comme chaque année en juin."
814;Je m'inquiète pour la santé de ma fille (médecin), son compagnon (médecin lui aussi) et leurs trois enfants.
816;Que mes proches en soient atteints
817;de ne pas pouvoir continuer mes activités , et que mes enfants ne soient pas touchés par ce virus.
819;Être contaminé avant que l'on trouve des traitements efficaces
820;Ne pas choper le virus, et pourtant continuer à mener une vie à peu près normale
822;"risque de réactivation du virus après le déconfinement
 sera-t-on capables de modifier notre comportement économique après la pandémie?"
823;Etant asthmatique, ayant eu un lymphome, je me sens vulnérable. L'inquiétude a été grande au départ, mais beaucoup moins à l'heure actuelle.
824;DECES
825;La ruine économique de la France
826;"De ne pas connaître vraiment ce virus puisque chaque jour apporte des nouveautés sur l'emprise qu'il peut avoir. Son évolution est souvent différente en fonction de la personne atteinte et de ses points sensibles.
 Inquiétudes par rapport à la vie en société, chacun doit resté le plus en retrait possible par rapport à l'autre du fait que l'on n'a pas connaissance de son infection ou pas. 
 On ne pourra pas tester l'ensemble de la population, quels sont les critères, les symptômes ? De plus les tests sont-ils vraiment fiable ?"
827;Que l'on ne considère pas cette épidémie  comme le symptôme du dérèglement climatique du à la folie des animaux dotés du langage.
831;Une reprise  de la crise sanitaire après le relâchement des règles de confinement
834;"Pour moi  ,  pas d' inquiétude.
 89 ans . Je crains plutôt pour les autres.
 Je fais ce que je peux autour de moi. Tout en respectant ce que l' on ´nous demande.
 Cela paraît banal .je cherche toujours le positif et c' est bien : aimer les autres."
835;"Problème du confinement non observé par certains
 Port du masque très aléatoire par contre distanciation assez bien observée"
836;la contamination
837;conséquences économiques, risque d'appauvrissement des modestes et des précaires, écart croissant entre les plus aisés et les pauvres
838;ne pas savoir la durée de la pandémie et les dates des vacances .
839;Boulversement de société, crise financière, conséquences économiques énormes, fossé entre les catégories sociales, risque de ne pas accepter les réformes (augmenter le pouvoir d'achat des caissières, des aides soignantes, des professeurs ...)
840;"accroissement progressif de la dangerosité des attaques des unicellulaires contre les organismes évolués.
 - l'homme a vaincu les bactéries par les antibiotiques, mais les capacités de mutat ions des bactéries rend la chose de plus en plus diffoicile
 - les capacités de mutation des virus sont encore plus grande (le covid 19 mute tous les mois), rendant l'efficacité d'un vaccin de plus en  plus problématique. 
 C'est la survie des organismes supérieurs qui est en jeu face aux uni cellulaires"
841;propagation du virus par des personnes inconcientes
843;une grande fracture sociale et des fins de vie encore plus tristes
846;Mourir
847;manque de tests simples
849;perdre mon indépendance physique pour me déplacer et ne plus pouvoir faire mes courses alimentaires
851;D'en être gravement malade
852;Reprise de l'activité économique
853;attraper le virus malgré les précautions prises
854;Inquiétude pour mes enfants et petits-enfants poursuivant leurs activités
856;je représente une' personne à hauts risques' étant donné que je sous sous chimio avec +de 75 ans et un léger embonpoint
857;pour mes enfants et petits ebfants
858;Hospitalisation longue avec séquelles voire deces
859;"Le fait que nous ne sommes pas préparés pour affronter ce mal, peu connu par la science, et que beaucoup, dans cette ignorance de précision de tous ordres, ne croient pas à leur propre possible contamination.
 Le heurt  des médecins entre eux, ceux en comité et ceux en exercice, attriste par le manque de clarté pour justifier leurs positions. L'ego de certains en est la cause et ne sert pas le soin donné remarquablement par les responsables face à cette maladie."
860;Ne pas avoir de masque en quantité suffisante et pouvoir être testée.
861;Le plus difficile est de constater que les consignes de sécurité ne sont jamais précises, nous entendons tout et son contraire !! ce qui n'est pas rassurant.
863;mesures gouvernementales de confinement sans traitement
864;"Pour les familles de nos enfants : télétravail +école +pas bouger
 Risque de Chômage ,"
865;Mon inquiétude est principalement de me retrouver à l'hôpital et de souffrir
866;"Que les 'bons gestes' à prendre pour faire reculer cette pandémie, ne soit pas complètement
 respectée..."
867;De mourir
868;La contamination et le développement de la forme grave de la maladie
869;peur d'avoir une maladie quasi mortelle a notre âge
870;Pas pour moi même mais pour l'avenir de tous
872;"le fait de se protéger, faire le moins de courses possible semble nécessaire
 si on se protège par le port du masque protège ceux que l'on rencontre"
873;Les effets secondaires des atteintes de ce virus et la contamination
874;Je ne sais pas si je suis porteuse ou non. Je mets un masque, le lave etc. J'utilise gants ou gel. J'essaye de conserver une distance suffisante pour me protéger et protéger les autres. Mais j'ai la nette impression que ça ne suffit pas. Qu'il y a toujours des failles dans toutes ces mesures. On oublie la distance, laver ses mains mais on oublie de désinfecter la poignée de porte, le commutateur.... De nombreuses occasions comme celles-ci qui peuvent être des occasions de s'infecter et d'en infecter d'autres.
875;Il s'agit surtout du déconfinement dans la mesure où les attestations de sortie ne seront plus exigées, que les masques ne seront pas obligatoires (en dehors des transports en commun) et que les 'porteurs sains' (= personnes contaminées asymptomatiques) seront en libre circulation puisque non détectés.
876;"Santé de nos enfants et petits enfants .
 Avenir professionnelle de nos enfants et petits enfants .
 Crise médicale , sociale , économique , mondiale"
877;les conséquences économiques liées au confinement
878;Qu'il n'y a ni traitement ni vaccin
879;"Aucune pour moi-même (bientôt 84 ans, mari décédé il y a 2 ans 1/2).
 Beaucoup pour les jeunes générations de ma famille proche (2 fils, 1 belle-fille, l petite fille)
 ainsi que de mes neveux et nièces"
880;pas d'inquiétudes particulières si ce n'est la façon dont ma famille vit le confinement
