Id,category_1,category_2,category_3,category_4
599,0,0,0,0
600,0,0,1,0
602,0,0,1,0
603,0,1,0,0
604,0,0,0,0
606,0,1,0,0
607,0,0,1,0
608,0,0,1,0
609,0,0,0,0
610,1,0,0,0
613,0,0,0,0
615,0,0,1,0
616,0,0,0,0
619,0,0,0,0
620,0,0,1,0
623,0,0,0,0
624,0,0,1,0
625,0,0,1,0
626,0,0,0,0
627,0,0,0,0
628,0,0,1,0
629,0,0,1,0
630,0,0,1,0
631,1,0,0,0
632,0,0,0,0
634,0,0,1,0
635,0,0,1,0
638,0,0,1,0
639,0,0,1,0
641,0,0,0,0
644,0,1,0,0
645,0,0,1,0
646,0,0,1,0
647,0,0,1,0
648,0,1,0,0
649,0,0,0,0
652,0,0,0,0
653,1,0,0,0
654,0,0,0,0
655,0,0,1,0
656,1,0,0,0
657,1,0,0,0
658,0,0,0,0
659,0,0,0,0
660,0,0,1,0
661,0,0,1,0
662,0,0,0,0
663,0,0,1,0
664,0,0,1,0
665,0,0,1,0
666,0,0,0,0
667,0,0,1,0
668,0,0,0,0
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,1,0,0
673,0,0,0,0
674,0,0,1,0
676,0,0,1,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,1,0,0,0
683,0,0,0,0
684,0,0,1,0
685,0,1,0,0
686,0,0,1,0
689,0,0,1,0
690,0,0,0,0
691,0,1,0,0
692,0,1,0,0
693,0,1,0,0
694,0,0,0,0
695,0,0,1,0
697,0,0,0,0
699,0,0,1,0
700,0,0,0,0
701,0,0,0,0
702,0,1,0,0
704,0,0,1,0
705,0,1,0,0
706,0,0,1,0
707,0,1,1,0
708,1,1,0,0
709,0,0,1,0
710,0,0,1,0
711,0,0,1,0
712,0,0,1,0
714,1,0,0,0
715,0,0,1,0
718,0,0,0,0
720,0,0,0,0
721,0,1,0,0
723,0,1,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,1,0
729,0,0,1,0
731,0,1,0,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,1,0
737,0,0,0,0
738,0,0,1,0
739,0,0,1,0
740,0,1,1,0
741,0,0,0,0
742,0,0,1,0
744,0,0,1,0
745,0,0,0,0
746,0,0,1,0
748,0,0,0,0
751,0,0,1,0
753,0,0,1,0
754,0,0,1,0
755,0,0,1,0
757,0,1,0,0
758,0,0,0,0
760,0,0,1,0
761,0,0,1,0
762,0,0,0,0
763,1,0,0,0
764,0,1,0,0
765,0,0,1,0
766,0,1,0,0
767,0,0,1,0
768,0,0,1,0
769,0,1,0,0
770,0,0,0,0
772,0,0,1,0
773,0,0,0,0
774,0,0,1,0
775,0,0,0,0
778,0,0,1,0
779,0,1,0,0
780,1,0,0,0
781,1,0,0,0
782,0,0,1,0
783,0,0,1,0
784,0,0,1,0
785,0,0,1,0
787,0,0,0,0
788,0,0,0,0
790,0,0,1,0
791,0,1,0,0
792,0,0,0,0
793,0,0,0,0
795,0,0,0,0
796,0,0,1,0
797,0,1,0,0
798,0,1,0,0
799,0,0,1,0
800,0,0,0,0
801,0,1,0,0
802,1,0,0,0
